geoid,name,universe,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,state,county,asians_all,other_all
1001,"Autauga County, Alabama",55200.0,41412.0,10475.0,159.0,568.0,5.0,41.0,1012.0,1528.0,1,1,573.0,1212.0
1003,"Baldwin County, Alabama",208107.0,172768.0,19529.0,1398.0,1668.0,9.0,410.0,2972.0,9353.0,1,3,1677.0,4780.0
1005,"Barbour County, Alabama",25782.0,11898.0,12199.0,63.0,85.0,1.0,86.0,344.0,1106.0,1,5,86.0,493.0
1007,"Bibb County, Alabama",22527.0,16801.0,4974.0,8.0,37.0,0.0,0.0,160.0,547.0,1,7,37.0,168.0
1009,"Blount County, Alabama",57645.0,50232.0,820.0,124.0,198.0,18.0,174.0,818.0,5261.0,1,9,216.0,1116.0
1011,"Bullock County, Alabama",10352.0,2228.0,7893.0,122.0,56.0,0.0,2.0,0.0,51.0,1,11,56.0,124.0
1013,"Butler County, Alabama",20025.0,10384.0,9027.0,2.0,231.0,0.0,0.0,314.0,67.0,1,13,231.0,316.0
1015,"Calhoun County, Alabama",115098.0,83423.0,23618.0,227.0,1065.0,9.0,38.0,2515.0,4203.0,1,15,1074.0,2780.0
1017,"Chambers County, Alabama",33826.0,18872.0,13319.0,97.0,405.0,0.0,18.0,347.0,768.0,1,17,405.0,462.0
1019,"Cherokee County, Alabama",25853.0,23730.0,1267.0,236.0,42.0,0.0,0.0,180.0,398.0,1,19,42.0,416.0
1021,"Chilton County, Alabama",43930.0,35205.0,4112.0,39.0,190.0,0.0,80.0,888.0,3416.0,1,21,190.0,1007.0
1023,"Choctaw County, Alabama",13075.0,7370.0,5570.0,9.0,13.0,0.0,5.0,35.0,73.0,1,23,13.0,49.0
1025,"Clarke County, Alabama",24387.0,12895.0,11173.0,25.0,123.0,0.0,0.0,123.0,48.0,1,25,123.0,148.0
1027,"Clay County, Alabama",13378.0,10740.0,1971.0,119.0,18.0,0.0,26.0,89.0,415.0,1,27,18.0,234.0
1029,"Cleburne County, Alabama",14938.0,13839.0,393.0,39.0,3.0,0.0,11.0,291.0,362.0,1,29,3.0,341.0
1031,"Coffee County, Alabama",51288.0,36223.0,8746.0,581.0,666.0,0.0,41.0,1482.0,3549.0,1,31,666.0,2104.0
1033,"Colbert County, Alabama",54495.0,42865.0,8561.0,367.0,244.0,29.0,18.0,1062.0,1349.0,1,33,273.0,1447.0
1035,"Conecuh County, Alabama",12514.0,6274.0,5961.0,56.0,18.0,0.0,2.0,98.0,105.0,1,35,18.0,156.0
1037,"Coosa County, Alabama",10855.0,7084.0,3713.0,8.0,0.0,0.0,0.0,0.0,50.0,1,37,0.0,8.0
1039,"Covington County, Alabama",37351.0,31146.0,4790.0,58.0,144.0,13.0,0.0,596.0,604.0,1,39,157.0,654.0
1041,"Crenshaw County, Alabama",13865.0,9869.0,3147.0,106.0,188.0,0.0,0.0,280.0,275.0,1,41,188.0,386.0
1043,"Cullman County, Alabama",82313.0,75826.0,954.0,348.0,334.0,0.0,9.0,1299.0,3543.0,1,43,334.0,1656.0
1045,"Dale County, Alabama",49255.0,34005.0,9611.0,300.0,533.0,4.0,244.0,1488.0,3070.0,1,45,537.0,2032.0
1047,"Dallas County, Alabama",40029.0,11024.0,28119.0,10.0,224.0,4.0,0.0,236.0,412.0,1,47,228.0,246.0
1049,"DeKalb County, Alabama",71200.0,57441.0,979.0,910.0,140.0,99.0,11.0,1400.0,10220.0,1,49,239.0,2321.0
1051,"Elmore County, Alabama",81212.0,59471.0,17148.0,186.0,392.0,0.0,197.0,1471.0,2347.0,1,51,392.0,1854.0
1053,"Escambia County, Alabama",37328.0,22480.0,11912.0,1435.0,135.0,72.0,39.0,417.0,838.0,1,53,207.0,1891.0
1055,"Etowah County, Alabama",102939.0,80374.0,15816.0,424.0,739.0,66.0,80.0,1560.0,3880.0,1,55,805.0,2064.0
1057,"Fayette County, Alabama",16585.0,14042.0,1858.0,0.0,108.0,6.0,0.0,286.0,285.0,1,57,114.0,286.0
1059,"Franklin County, Alabama",31542.0,24313.0,1338.0,159.0,119.0,0.0,17.0,263.0,5333.0,1,59,119.0,439.0
1061,"Geneva County, Alabama",26491.0,22235.0,2468.0,191.0,109.0,4.0,0.0,457.0,1027.0,1,61,113.0,648.0
1063,"Greene County, Alabama",8426.0,1445.0,6707.0,48.0,0.0,0.0,0.0,83.0,143.0,1,63,0.0,131.0
1065,"Hale County, Alabama",14887.0,5898.0,8743.0,29.0,39.0,0.0,16.0,32.0,130.0,1,65,39.0,77.0
1067,"Henry County, Alabama",17124.0,11805.0,4727.0,4.0,0.0,0.0,0.0,140.0,448.0,1,67,0.0,144.0
1069,"Houston County, Alabama",104352.0,69826.0,27887.0,277.0,848.0,13.0,75.0,1989.0,3437.0,1,69,861.0,2341.0
1071,"Jackson County, Alabama",52094.0,46537.0,1799.0,545.0,215.0,77.0,50.0,1366.0,1505.0,1,71,292.0,1961.0
